Network,Station,Instrument_code,HVSR@f=0.100Hz,HVSR@f=0.121Hz,HVSR@f=0.145Hz,HVSR@f=0.175Hz,HVSR@f=0.210Hz,HVSR@f=0.253Hz,HVSR@f=0.305Hz,HVSR@f=0.367Hz,HVSR@f=0.442Hz,HVSR@f=0.532Hz,HVSR@f=0.640Hz,HVSR@f=0.771Hz,HVSR@f=0.928Hz,HVSR@f=1.117Hz,HVSR@f=1.344Hz,HVSR@f=1.618Hz,HVSR@f=1.948Hz,HVSR@f=2.345Hz,HVSR@f=2.823Hz,HVSR@f=3.398Hz,HVSR@f=4.090Hz,HVSR@f=4.923Hz,HVSR@f=5.926Hz,HVSR@f=7.134Hz,HVSR@f=8.588Hz,HVSR@f=10.337Hz,HVSR@f=12.444Hz,HVSR@f=14.979Hz,HVSR@f=18.031Hz,HVSR@f=21.705Hz,HVSR@f=26.127Hz,HVSR@f=31.451Hz,HVSR@f=37.859Hz,HVSR@f=45.572Hz
5A,NV100,HH,0.8454587505159838,0.9127720769361174,0.9267098285814808,0.841569477394362,0.8668146070566983,0.9259427027700624,0.7550236098652507,0.7594961964161481,0.7970513689890639,0.714856882654599,0.7813009386298801,0.6601969650691313,0.7896680456437583,0.9168467564126288,1.21811759884233,1.740315229357774,1.657790139544615,1.557983175842181,1.513537999743857,1.35659446828722,1.11025098231319,0.7777085292381545,0.7812762271074026,0.6491688766231984,0.7561659672278451,0.7263534561737871,0.5931043761612279,0.5482579068808948,0.5599986267097317,0.6801266482967284,0.9424108871105764,0.647557508864319,0.8080419947829331,0.9515405776018828
5A,NV120,HH,0.8641492618812686,0.9130125259536062,0.9074883651765324,0.8199305106907996,0.8218910462969989,0.8872631752999992,0.7592606769841951,0.7103281026030019,0.6976912167036609,0.7153241322508406,0.6524124107891268,0.60107715029947,0.6695877449212174,0.9192079002438164,1.149831060843198,1.135655240312134,0.8632874977340537,1.078020497671505,1.027916173974474,1.03035302741426,1.02845745811323,0.9606588622629408,0.9721622683760872,1.058077527225252,1.056371131418357,1.295120102422779,0.7356190031145435,0.6285431794408525,0.592428294566189,0.6370920999390453,0.6481092866363902,0.7716838761652726,0.9037605734154518,0.948430222222956
5A,NV140,HH,0.8607636347757445,0.9183806750642716,0.8869244796503525,0.7972916133813364,0.7880086924981261,0.8554264232977116,0.7640292431760213,0.6733628091143173,0.6476513658203755,0.6578134825409224,0.5190107830133335,0.562139207144479,0.6354911996885855,0.8808330476948657,1.195816805111175,1.236511292800148,1.318912071561756,1.24550247259715,1.345654794414714,1.201743244220326,1.160518469192704,1.250709879872678,1.40735050043217,1.378592535023191,1.580324442412404,1.278078486976469,0.8760329229268912,0.7144653855785598,0.7129864839608361,0.6799915563824266,0.7889843096563558,0.7976471229182347,1.047832655682623,0.9653916398891408
5A,NV150,HH,0.8585905409033626,0.922815603829142,0.8924482297591835,0.7893255257705021,0.7811405344046055,0.8535571031422489,0.7675505580543371,0.6639600095951873,0.6557124347863134,0.6574366138216416,0.5487785796746315,0.5897733173521197,0.6756032640559051,0.8927987804819443,1.059740293455734,1.029585422002121,1.139730576103664,1.085821489958619,1.215906296351627,1.188363159936765,1.353268090630772,1.205525971008036,1.12763270945099,1.178419735438455,1.166692618950607,1.083892202881648,0.8686885418407106,0.8312415080048793,0.8097688437184177,0.8779744883701203,0.854103148993546,0.8033545608569791,0.9269018747652016,0.9416271434256304
5A,NV170,HH,0.911251372612668,0.9501271851889838,1.028875180850511,0.8537608693198364,0.8472241225619799,0.8922242508088565,0.7519013639216634,0.6341685502616196,0.6591153166861574,0.6449483988971443,0.6616669605361755,0.5518770940122943,0.7149706414603139,0.8427111498161685,1.067185652339238,1.296556997237544,1.279360166124078,1.243777507910393,1.259803440419527,1.336346922213581,1.352286510584356,1.326543358498973,1.523810048621651,1.796484679972166,3.168494390245992,3.950419356115817,1.448417093266254,0.6806568416764629,0.856713573143511,1.032486379527923,1.167255768324509,1.155388852760485,1.116231823796142,0.9819808203692302
5A,NV180,HH,0.8663827550411595,0.9796752756927708,0.9664727247451278,0.8323216593956599,0.7783662828494794,0.8736277950831157,0.7887802786230811,0.6466547571761572,0.6816429008646285,0.6631171412271072,0.6150847170371042,0.6273821479754161,0.7213883181338063,0.9352766355219138,0.9349180593743384,1.097218825312744,1.128754474355236,1.558473486051884,1.272834634738707,1.31298260497486,1.449113044852998,1.424617883317533,1.135576635849194,1.229258882344269,1.157295717726822,1.094323344634148,0.9118118997792466,0.8776126330716681,0.7800211148140869,0.7982960303399198,0.7543727045234702,0.8029176923849,0.7771847012629521,0.928445470994968
5A,NV190,HH,0.885552864109051,1.016795912779732,1.008095330936797,0.8727657103858598,0.7943015670097014,0.8910068966428548,0.8321755304252797,0.6901802326997617,0.6967334688118568,0.688373485349653,0.6290465610222957,0.6534850350603357,0.7756116743797603,0.8865696481396835,0.9108314537724056,0.9441633659377884,1.171202725860957,1.48780646513843,1.305529552380829,1.316604827359984,1.361747350299126,1.107851876432288,1.168260335186085,1.071544100849324,0.95978213594144,0.8025716899748263,0.6665032540433189,0.686514130453337,0.7411127676774373,0.7707763329283012,0.8112025333797659,0.8087525326920895,0.9618427225252116,0.943537298997674
5A,NV200,HH,0.823082502895862,0.9724932719636448,0.9834084512126696,0.8584898060407192,0.7440368647770678,0.8161768801472528,0.7798818773052982,0.6517841351491794,0.6398802544145693,0.6684872151877675,0.5605619506734733,0.5767837817192184,0.6928539648617367,0.8662993631693153,0.8872060166682906,1.011680604041776,1.135348284482271,1.327486268451274,1.117598747761415,1.110581212929568,1.182402030911239,1.120939820184619,1.049477112709911,1.04089396000306,1.141757902755809,1.317767195015528,1.040524155507397,0.841949580304462,0.8477923062076941,0.8606011435347533,0.8598049474145568,0.870956464811192,1.124666828594283,0.9514894834540818
5A,NV210,HH,0.7461281525844238,0.9515742911096148,0.9022671090767668,0.8752987310573168,0.6518511027315892,0.7607660514796589,0.7384738623550542,0.577077966968225,0.5938336625114097,0.5564534837784881,0.5115394576730709,0.530946226694574,0.6290710304811048,0.8182245722582168,0.8760826107454995,0.9565592687590478,1.202464849233568,1.297957955469654,1.199944865191987,1.321101966506016,1.345636174598021,1.288751900215609,1.581241732894725,2.517558442410149,1.998828775187175,1.09714558270612,0.7607553120881207,0.7382925078687388,0.6382257101483982,0.6884857227970749,0.7120138368687476,0.7761351385222736,0.9812857500978172,0.9180889502896042
5A,NV220,HH,0.7563755355660053,0.9309725953116712,0.8851979027606174,0.8280984440851531,0.6827019182136643,0.7491652082229463,0.718267527435877,0.6012618640210392,0.595141903443643,0.6071030603383054,0.4973245886695988,0.5367409105603899,0.6600042895252463,0.7726426552418516,0.8944037770026921,0.9310869805575892,0.9626637818557644,1.104615381745362,1.141623226377766,1.079519064063802,0.9172805245094215,0.9909931582829148,1.11460333945911,1.097550997448058,1.129612826286274,0.9391907816804106,1.014170478927001,0.8395353868840207,0.8921923773535513,0.8822115609463554,0.8561005867216723,0.8759346067614867,1.006279005485877,0.9502548130495014
